_key,window_idx,bucket_low_pct,bucket_high_pct,percentile_rank,pathwise_loss,endpoint_return,start_unix,end_unix,start_iso,end_iso,start_block,end_block,num_blocks
141,141,40,50,48.38546519366432,0.0020747025806641117,0.0013831350537762965,1668627780,1668631380,2022-11-16T19:43:00Z,2022-11-16T20:43:00Z,15984740,15985037,298
142,142,40,50,48.51571561674051,0.002082536727582962,-0.0007678168884861503,1665233280,1665236880,2022-10-08T12:48:00Z,2022-10-08T13:48:00Z,15703472,15703770,299
143,143,40,50,48.668926242132684,0.0020914604152838523,0.011091823974889836,1713299400,1713303000,2024-04-16T20:30:00Z,2024-04-16T21:30:00Z,19670432,19670728,297
144,144,40,50,48.67277671084406,0.0020916938776122107,0.001834815292408809,1764190980,1764194580,2025-11-26T21:03:00Z,2025-11-26T22:03:00Z,23885468,23885764,297
145,145,40,50,48.91022228137894,0.0021060990421406522,0.0031122293480398966,1727053020,1727056620,2024-09-23T00:57:00Z,2024-09-23T01:57:00Z,20809847,20810143,297
146,146,40,50,49.15769808522371,0.002120880325897412,-0.0018505702602731322,1749523140,1749526740,2025-06-10T02:39:00Z,2025-06-10T03:39:00Z,22671239,22671535,297
147,147,40,50,49.38335456637068,0.002134372265889972,0.0030378704177727034,1740952800,1740956400,2025-03-02T22:00:00Z,2025-03-02T23:00:00Z,21962040,21962337,298
148,148,40,50,49.60877336426385,0.002148535775974847,-3.867856669392822e-06,1743541740,1743545340,2025-04-01T21:09:00Z,2025-04-01T22:09:00Z,22176648,22176947,300
149,149,40,50,49.69766690118081,0.0021541554763736537,-0.0019309269295991749,1693203240,1693206840,2023-08-28T06:14:00Z,2023-08-28T07:14:00Z,18011282,18011581,300
150,150,50,60,50.549095852902596,0.002206625349937874,-0.0016514167070691421,1750286400,1750290000,2025-06-18T22:40:00Z,2025-06-18T23:40:00Z,22734410,22734707,298
151,151,50,60,50.72502899735696,0.0022176070885132626,-0.0007499159778258102,1765790820,1765794420,2025-12-15T09:27:00Z,2025-12-15T10:27:00Z,24017102,24017400,299
152,152,50,60,50.761584681789664,0.0022199054379444805,0.0012004775316354355,1749205200,1749208800,2025-06-06T10:20:00Z,2025-06-06T11:20:00Z,22644920,22645211,292
153,153,50,60,51.5848243996121,0.0022719982301863118,-0.000531312796121175,1697000460,1697004060,2023-10-11T05:01:00Z,2023-10-11T06:01:00Z,18324986,18325283,298
154,154,50,60,52.22580859842939,0.0023133923730345174,0.004260449544852829,1761294300,1761297900,2025-10-24T08:25:00Z,2025-10-24T09:25:00Z,23646119,23646414,296
155,155,50,60,52.25466334543933,0.002315285481663487,0.0027174210997606973,1734510000,1734513600,2024-12-18T08:20:00Z,2024-12-18T09:20:00Z,21428185,21428481,297
156,156,50,60,52.71144302257041,0.002345204221367525,0.0006564835346116737,1666857060,1666860660,2022-10-27T07:51:00Z,2022-10-27T08:51:00Z,15838034,15838333,300
157,157,50,60,52.78721644387823,0.0023500871806534374,-0.0001896747782578201,1728918120,1728921720,2024-10-14T15:02:00Z,2024-10-14T16:02:00Z,20964567,20964865,299
158,158,50,60,53.12035329238844,0.0023723291828675608,-0.002158873201609568,1758469440,1758473040,2025-09-21T15:44:00Z,2025-09-21T16:44:00Z,23412397,23412694,298
159,159,50,60,53.448451255918314,0.0023946837729798,0.0028845604615297393,1667809260,1667812860,2022-11-07T08:21:00Z,2022-11-07T09:21:00Z,15916916,15917213,298
160,160,50,60,53.46584967009564,0.0023959299070338558,0.003101328392224101,1658468460,1658472060,2022-07-22T05:41:00Z,2022-07-22T06:41:00Z,15190601,15190828,228
161,161,50,60,53.77650168279744,0.0024164646518191057,-0.0014007420404289483,1728547320,1728550920,2024-10-10T08:02:00Z,2024-10-10T09:02:00Z,20933884,20934183,300
162,162,50,60,54.21564526249738,0.0024460781985835567,-0.0010420569483089448,1714191000,1714194600,2024-04-27T04:10:00Z,2024-04-27T05:10:00Z,19744201,19744498,298
163,163,50,60,54.77510410526516,0.002483952516500687,0.0012492913983537246,1725016440,1725020040,2024-08-30T11:14:00Z,2024-08-30T12:14:00Z,20641024,20641322,299
164,164,50,60,55.450267155977265,0.002531443061978278,-0.0006824879106072101,1682157240,1682160840,2023-04-22T09:54:00Z,2023-04-22T10:54:00Z,17101118,17101416,299
165,165,50,60,55.67126504534996,0.0025468801138742725,-0.0013978010786637185,1659267960,1659271560,2022-07-31T11:46:00Z,2022-07-31T12:46:00Z,15250045,15250301,257
166,166,50,60,55.803892300964044,0.002556443075231618,0.0029077234703165367,1659425100,1659428700,2022-08-02T07:25:00Z,2022-08-02T08:25:00Z,15261715,15261980,266
167,167,50,60,57.20299100606567,0.002658193722237745,0.002379057166474574,1733177880,1733181480,2024-12-02T22:18:00Z,2024-12-02T23:18:00Z,21317755,21318052,298
168,168,50,60,57.31646099142439,0.002666262071381875,-0.00048780843873141855,1763196660,1763200260,2025-11-15T08:51:00Z,2025-11-15T09:51:00Z,23803512,23803811,300
169,169,50,60,57.62554429465118,0.0026888830115489037,-0.0020462938474046233,1681478520,1681482120,2023-04-14T13:22:00Z,2023-04-14T14:22:00Z,17045676,17045964,289
170,170,50,60,57.829951892909435,0.0027044003429876895,0.0006007413078064072,1762883940,1762887540,2025-11-11T17:59:00Z,2025-11-11T18:59:00Z,23777631,23777929,299
171,171,50,60,57.83608412085718,0.002704874038737426,0.0019057490040219616,1731720180,1731723780,2024-11-16T01:23:00Z,2024-11-16T02:23:00Z,21196944,21197241,298
172,172,50,60,58.37629062006807,0.002745144804088606,-0.0011257240204429753,1690812480,1690816080,2023-07-31T14:08:00Z,2023-07-31T15:08:00Z,17813489,17813784,296
173,173,50,60,58.70248711756765,0.0027702283014070517,-0.0003124041755229179,1665471180,1665474780,2022-10-11T06:53:00Z,2022-10-11T07:53:00Z,15723201,15723499,299
174,174,50,60,58.97929303492994,0.0027915586552664795,0.004960959102034979,1713105720,1713109320,2024-04-14T14:42:00Z,2024-04-14T15:42:00Z,19654439,19654736,298
175,175,50,60,59.2599494210036,0.002813725103417819,-0.001943609001603619,1763462040,1763465640,2025-11-18T10:34:00Z,2025-11-18T11:34:00Z,23825439,23825738,300
176,176,50,60,59.65455115894355,0.002845450560296503,-0.0015848162138183408,1688601960,1688605560,2023-07-06T00:06:00Z,2023-07-06T01:06:00Z,17631135,17631429,295
177,177,50,60,59.694291798977005,0.002848535126402707,-0.00043516860964365467,1746825300,1746828900,2025-05-09T21:15:00Z,2025-05-09T22:15:00Z,22448490,22448784,295
178,178,50,60,59.73079994675895,0.002851314881064493,-0.0007217724220172084,1714899360,1714902960,2024-05-05T08:56:00Z,2024-05-05T09:56:00Z,19802838,19803135,298
179,179,50,60,59.86452054534046,0.002861955547824424,-4.014251622552756e-05,1665167160,1665170760,2022-10-07T18:26:00Z,2022-10-07T19:26:00Z,15697984,15698281,298
180,180,60,70,60.04996101994637,0.002876907691737318,-0.0017991601113267475,1719762360,1719765960,2024-06-30T15:46:00Z,2024-06-30T16:46:00Z,20205486,20205784,299
181,181,60,70,60.1007776996064,0.0028811441115421665,-0.0007807083319748553,1659846300,1659849900,2022-08-07T04:25:00Z,2022-08-07T05:25:00Z,15292964,15293240,277
182,182,60,70,60.136049894468634,0.002883941141425761,-0.0016180388023311343,1649512200,1649515800,2022-04-09T13:50:00Z,2022-04-09T14:50:00Z,14551884,14552139,256
183,183,60,70,60.54039664581392,0.0029166558173768786,-0.0009216089612809064,1682150820,1682154420,2023-04-22T08:07:00Z,2023-04-22T09:07:00Z,17100590,17100884,295
